,Borehole ID,Latitude,Longitude,Elevation (ft),In-situ Test #,Test Elevation (ft),SPTN,Layer #,Layer Top Elevation (ft),Layer Bottom Elevation (ft),Soil Description,USCS,Lithology,Density / Consistency
13,24,47.54644575,-122.3973182,183.3,3,172.8,12.0,3,178.8,167.3,"Brown, silty, fine to medium sand, some gravel to gravelly, medium to coarse sand lenses, very moist, medium-dense.",SM,Silty sand,Medium
14,24,47.54644575,-122.3973182,183.3,4,170.8,17.0,3,178.8,167.3,"Brown, silty, fine to medium sand, some gravel to gravelly, medium to coarse sand lenses, very moist, medium-dense.",SM,Silty sand,Medium
15,24,47.54644575,-122.3973182,183.3,5,166.8,52.0,4,167.3,165.3,"Brown, silty, medium sand, gravelly, moist, dense.",SM,Silty sand,Very Dense
16,25,47.54673974,-122.3974502,178.9,1,175.9,14.0,2,177.9,174.9,"Brown, silty, fine to medium sand, moist, loose to medium-dense.",SM,Silty sand,Medium
17,25,47.54673974,-122.3974502,178.9,2,174.4,14.0,3,174.9,162.9,"Brown, silty, medium sand, some gravel, sand lenses, moist, medium-dense.",SM,Silty sand,Medium
18,25,47.54673974,-122.3974502,178.9,3,166.9,22.0,3,174.9,162.9,"Brown, silty, medium sand, some gravel, sand lenses, moist, medium-dense.",SM,Silty sand,Medium
19,25,47.54673974,-122.3974502,178.9,4,162.4,35.0,4,162.9,161.4,"Bluish-gray, silty, fine sand, some gravel, moist, dense.",SM,Silty sand,Dense
20,26,47.54326497,-122.3956299,159.5,1,154.5,23.0,3,156.0,142.5,"Light brown, slightly silty, medium sand, some gravel to gravelly, moist, medium-dense.",SP,Sand,Medium
21,26,47.54326497,-122.3956299,159.5,2,150.0,63.0,3,156.0,142.5,"Light brown, slightly silty, medium sand, some gravel to gravelly, moist, medium-dense.",SP,Sand,Very Dense
22,26,47.54326497,-122.3956299,159.5,3,144.5,39.0,3,156.0,142.5,"Light brown, slightly silty, medium sand, some gravel to gravelly, moist, medium-dense.",SP,Sand,Dense
23,26,47.54326497,-122.3956299,159.5,4,139.0,74.0,4,142.5,129.5,"Gray, silty, medium sand, trace to some gravel, very moist, dense, with hard silt lenses.",SM,Silty sand,Very Dense
24,26,47.54326497,-122.3956299,159.5,5,134.5,43.0,4,142.5,129.5,"Gray, silty, medium sand, trace to some gravel, very moist, dense, with hard silt lenses.",SM,Silty sand,Dense
25,26,47.54326497,-122.3956299,159.5,6,130.0,31.0,4,142.5,129.5,"Gray, silty, medium sand, trace to some gravel, very moist, dense, with hard silt lenses.",SM,Silty sand,Dense
26,36,47.5762026,-122.3986842,282.7,1,279.7,2.0,1,282.7,277.7,"Brown, gravelly, silt and sand, moist.",ML-SM,Fill,Very loose
27,36,47.5762026,-122.3986842,282.7,2,276.7,10.0,2,277.7,274.2,"Mottled to tan, sandy silt, moist.",ML,Sandy silt,Stiff
28,36,47.5762026,-122.3986842,282.7,3,274.2,15.0,3,274.2,271.2,"Brown, silty sand, moist to wet.",SM,Silty sand,Medium
29,37,47.5817845,-122.3992476,180.3,1,177.3,6.0,1,180.3,150.3,"Light brown, sandy material.",SM,Undefined,Loose
30,37,47.5817845,-122.3992476,180.3,2,172.3,13.0,1,180.3,150.3,"Light brown, sandy material.",SM,Undefined,Medium
31,37,47.5817845,-122.3992476,180.3,3,168.3,12.0,1,180.3,150.3,"Light brown, sandy material.",SM,Undefined,Medium
32,37,47.5817845,-122.3992476,180.3,4,163.3,13.0,1,180.3,150.3,"Light brown, sandy material.",SM,Undefined,Medium
33,37,47.5817845,-122.3992476,180.3,5,157.3,16.0,1,180.3,150.3,"Light brown, sandy material.",SM,Undefined,Medium
34,37,47.5817845,-122.3992476,180.3,6,153.3,18.0,1,180.3,150.3,"Light brown, sandy material.",SM,Undefined,Medium
35,37,47.5817845,-122.3992476,180.3,7,147.3,13.0,2,150.3,127.30000000000001,"Silty, clayey, sandy material.",SM,Undefined,Medium
36,37,47.5817845,-122.3992476,180.3,8,144.3,18.0,2,150.3,127.30000000000001,"Silty, clayey, sandy material.",SM,Undefined,Medium
37,37,47.5817845,-122.3992476,180.3,9,137.3,25.0,2,150.3,127.30000000000001,"Silty, clayey, sandy material.",SM,Undefined,Dense
38,37,47.5817845,-122.3992476,180.3,10,132.3,29.0,2,150.3,127.30000000000001,"Silty, clayey, sandy material.",SM,Undefined,Dense
39,37,47.5817845,-122.3992476,180.3,11,128.3,19.0,2,150.3,127.30000000000001,"Silty, clayey, sandy material.",SM,Undefined,Medium
40,72,47.53996136,-122.3901916,184.8,1,181.8,18.0,2,184.599999997,178.8,"Silty sand with gravel; brown, fine to medium sand, coarse gravel, medium dense, moist.",SM,Fill,Medium
41,72,47.53996136,-122.3901916,184.8,2,176.8,63.0,3,178.8,160.3,"Sand; yellow brown, fine to coarse, trace silt and gravel, very dense, moist.",SW,Sand,Very Dense
42,72,47.53996136,-122.3901916,184.8,3,171.8,40.0,3,178.8,160.3,"Sand; yellow brown, fine to coarse, trace silt and gravel, very dense, moist.",SW,Sand,Dense
43,72,47.53996136,-122.3901916,184.8,4,166.8,35.0,3,178.8,160.3,"Sand; yellow brown, fine to coarse, trace silt and gravel, very dense, moist.",SW,Sand,Dense
44,72,47.53996136,-122.3901916,184.8,5,161.8,31.0,3,178.8,160.3,"Sand; yellow brown, fine to coarse, trace silt and gravel, very dense, moist.",SW,Sand,Dense
45,74,47.54017433,-122.3897415,188.6,1,188.6,13.0,1,188.6,188.470000005,Asphalt.,Not applicable,Asphalt / concrete,
46,74,47.54017433,-122.3897415,188.6,2,187.1,14.0,3,187.1,186.1,"Silty sand, dark brown, fine to medium, medium dense, moist.",SM,Silty sand,Medium
47,74,47.54017433,-122.3897415,188.6,3,185.6,25.0,4,186.1,184.1,"Sand; gray, fine to coarse, trace to few silt, trace gravel, medium dense, moist.",SW,Sand,Dense
48,75,47.53999777,-122.3896381,189.1,1,189.1,18.0,1,189.1,188.89999999699998,Asphalt.,Not applicable,Asphalt / concrete,
49,75,47.53999777,-122.3896381,189.1,3,186.1,19.0,4,186.6,184.6,"Sand; gray, fine to coarse, trace to few silt, trace gravel, medium dense, moist.",SW,Sand,Medium
50,76,47.54023485,-122.3893913,189.1,1,189.1,40.0,1,189.1,188.89999999699998,Asphalt.,Not applicable,Asphalt / concrete,
51,76,47.54023485,-122.3893913,189.1,2,187.6,22.0,3,187.6,186.6,"Silty sand with gravel; gray brown, fine to medium, trace charcoal, medium dense, moist, weathered.",SM,Silty sand,Medium
52,76,47.54023485,-122.3893913,189.1,3,186.1,31.0,4,186.6,184.6,"Sand; gray, fine to coarse, trace to few silt, trace gravel, medium dense, moist.",SW,Sand,Dense
53,77,47.54046427,-122.389448,189.2,1,189.2,10.0,1,189.2,188.99999999699997,Asphalt.,Not applicable,Asphalt / concrete,
54,77,47.54046427,-122.389448,189.2,2,187.7,32.0,3,187.7,184.7,"Sand; gray-brown, fine to medium, trace gravel and silt, medium dense, moist.",SW,Sand,Dense
55,77,47.54046427,-122.389448,189.2,3,186.2,45.0,3,187.7,184.7,"Sand; gray-brown, fine to medium, trace gravel and silt, medium dense, moist.",SW,Sand,Dense
56,78,47.54045329,-122.3889415,205.5,1,202.5,5.0,2,205.399999999,199.5,"Silty sand with gravel; brown, fine to medium, trace organics, loose, slightly moist.",SM,Fill,Loose
57,78,47.54045329,-122.3889415,205.5,2,197.5,20.0,3,199.5,192.5,"Sand with silt; brown mottled gray, fine to coarse, trace gravel, medium dense, moist.",SM,Sand,Medium
58,78,47.54045329,-122.3889415,205.5,5,182.5,50.0,6,185.5,176.0,"Sand; gray brown, fine to medium, trace silt and gravel, with occasional laminations of sandy silt, very dense, very moist.",SW,Sand,Dense
59,78,47.54045329,-122.3889415,205.5,6,177.5,69.0,6,185.5,176.0,"Sand; gray brown, fine to medium, trace silt and gravel, with occasional laminations of sandy silt, very dense, very moist.",SW,Sand,Very Dense
60,79,47.54022712,-122.3890226,205.8,1,202.8,2.0,2,205.699999999,199.8,"Silty sand with gravel; brown, fine to medium, trace organics, loose, moist.",SM,Fill,Very loose
61,79,47.54022712,-122.3890226,205.8,3,192.8,88.0,3,199.8,189.8,"Sand; gray brown, fine to coarse, little silt and gravel, very dense, wet.",SW,Sand,Very Dense
62,79,47.54022712,-122.3890226,205.8,4,187.8,58.0,4,189.8,186.8,"Sand with gravel; gray, fine to coarse sand, fine gravel, very dense, wet.",SW,Sand,Very Dense
63,79,47.54022712,-122.3890226,205.8,5,182.8,58.0,5,186.8,168.8,"Sand; brown, fine to medium, little gravel, trace silt, very dense, moist.",SW,Sand,Very Dense
64,79,47.54022712,-122.3890226,205.8,6,177.8,55.0,5,186.8,168.8,"Sand; brown, fine to medium, little gravel, trace silt, very dense, moist.",SW,Sand,Very Dense
65,79,47.54022712,-122.3890226,205.8,7,172.8,45.0,5,186.8,168.8,"Sand; brown, fine to medium, little gravel, trace silt, very dense, moist.",SW,Sand,Dense
66,79,47.54022712,-122.3890226,205.8,8,167.8,38.0,6,168.8,166.3,"Sand; gray, fine to coarse, trace fine gravel, thinly bedded with fine to medium sand, dense, wet.",SW,Sand,Dense
67,80,47.5400681,-122.389021,204.2,1,201.2,17.0,2,204.09999999899998,198.2,"Sand; brown, fine to coarse, little silt and gravel, loose, slightly moist.",SW,Fill,Medium
68,80,47.5400681,-122.389021,204.2,2,196.2,44.0,4,196.2,193.2,"Silty sand with gravel; gray brown, fine to coarse sand, fine gravel, dense, moist.",SM,Silty sand,Dense
69,80,47.5400681,-122.389021,204.2,3,191.2,44.0,5,193.2,187.2,"Sand; gray, fine to coarse, trace silt and gravel, thinly bedded with silty sand, dense, wet.",SW,Sand,Dense
70,80,47.5400681,-122.389021,204.2,4,186.2,56.0,6,187.2,185.2,"Sand; gray, fine to coarse, trace gravel and silt, very dense, wet.",SW,Sand,Very Dense
71,80,47.5400681,-122.389021,204.2,6,176.2,69.0,9,179.2,174.7,"Sand; gray brown, fine to coarse, trace and gravel, very dense, moist.",SW,Sand,Very Dense
72,90,47.54471091,-122.3859494,236.7,1,235.7,29.0,2,235.899999988,232.2,"Gray sand with silt, scattered gravel, with seams of silt to sandy silt, moist to wet, dense.",SP-SM,Sand,Dense
73,90,47.54471091,-122.3859494,236.7,2,234.2,38.0,2,235.899999988,232.2,"Gray sand with silt, scattered gravel, with seams of silt to sandy silt, moist to wet, dense.",SP-SM,Sand,Dense
74,90,47.54471091,-122.3859494,236.7,3,231.7,82.0,3,232.2,229.7,"Gray-brown, silty sand with gravel, fine sand, moist, very dense.",SM,Silty sand,Very Dense
75,90,47.54471091,-122.3859494,236.7,4,229.2,43.0,4,229.7,216.7,"Gray-brown, silty sand, fine to medium, few to scattered gravel, transitions to less silty with depth, very moist to wet, dense to very dense.",SM,Silty sand,Dense
76,90,47.54471091,-122.3859494,236.7,5,224.2,41.0,4,229.7,216.7,"Gray-brown, silty sand, fine to medium, few to scattered gravel, transitions to less silty with depth, very moist to wet, dense to very dense.",SM,Silty sand,Dense
77,90,47.54471091,-122.3859494,236.7,6,219.7,57.0,4,229.7,216.7,"Gray-brown, silty sand, fine to medium, few to scattered gravel, transitions to less silty with depth, very moist to wet, dense to very dense.",SM,Silty sand,Very Dense
78,90,47.54471091,-122.3859494,236.7,7,214.2,71.0,5,216.7,210.7,"Gray-brown to gray sand with silt, fine to medium, scattered gravel, wet, very dense.",SP-SM,Sand,Very Dense
79,90,47.54471091,-122.3859494,236.7,8,211.7,69.0,5,216.7,210.7,"Gray-brown to gray sand with silt, fine to medium, scattered gravel, wet, very dense.",SP-SM,Sand,Very Dense
80,91,47.54454749,-122.3863891,230.0,1,229.0,21.0,2,229.0,228.200000048,"Gray silt, root traces, very moist. stiff.",ML,Silt,Very stiff
81,91,47.54454749,-122.3863891,230.0,2,227.5,31.0,3,228.200000048,227.400000095,"Gray sand with silt, very moist to wet, medium dense.",SP-SM,Sand,Dense
82,91,47.54454749,-122.3863891,230.0,3,223.0,34.0,4,227.400000095,222.0,"Gray silty sand, fine to medium, trace to little gravel, very moist to wet, dense.",SM,Silty sand,Dense
83,91,47.54454749,-122.3863891,230.0,4,217.5,86.0,5,222.0,206.5,"Gray sand with silt, fine to medium, scattered large gravel, wet, occasional seams of silty sand, very dense.",SP-SM,Sand,Very Dense
84,91,47.54454749,-122.3863891,230.0,5,207.5,86.0,5,222.0,206.5,"Gray sand with silt, fine to medium, scattered large gravel, wet, occasional seams of silty sand, very dense.",SP-SM,Sand,Very Dense
85,92,47.54420898,-122.3862962,229.8,1,228.8,5.0,2,228.8,226.8,"Black peat, silt with large pieces of wood, very moist, soft.",OL,Peat,Medium
86,92,47.54420898,-122.3862962,229.8,2,227.3,31.0,2,228.8,226.8,"Black peat, silt with large pieces of wood, very moist, soft.",OL,Peat,Hard
87,92,47.54420898,-122.3862962,229.8,3,224.8,11.0,4,224.8,222.8,"Gray silt, trace sand, root traces, seams of silty sand, wet, stiff.",ML,Silt,Stiff
88,92,47.54420898,-122.3862962,229.8,4,222.8,33.0,5,222.8,214.8,"Dark-gray, silty sand, fine to medium, scattered gravel, very moist to wet, dense to very dense.",SM,Silty sand,Dense
89,92,47.54420898,-122.3862962,229.8,5,219.8,86.0,5,222.8,214.8,"Dark-gray, silty sand, fine to medium, scattered gravel, very moist to wet, dense to very dense.",SM,Silty sand,Very Dense
90,92,47.54420898,-122.3862962,229.8,6,217.3,71.0,5,222.8,214.8,"Dark-gray, silty sand, fine to medium, scattered gravel, very moist to wet, dense to very dense.",SM,Silty sand,Very Dense
91,92,47.54420898,-122.3862962,229.8,8,207.3,67.0,6,214.8,206.3,"Dark-gray sand with silt, fine to medium, wet, very dense.",SP-SM,Sand,Very Dense
92,102,47.52864472,-122.3886656,315.4,1,312.9,8.0,1,315.4,306.4,"Loose, brown sand with organics.",SP,Sand,Loose
93,102,47.52864472,-122.3886656,315.4,2,307.9,6.0,1,315.4,306.4,"Loose, brown sand with organics.",SP,Sand,Loose
94,102,47.52864472,-122.3886656,315.4,3,302.9,27.0,2,306.4,285.4,"Light brown, brown to grayish brown, non plastic, poorly graded sand with silt to silty sand, medium dense to very dense.",SP-SM,Sand,Dense
95,102,47.52864472,-122.3886656,315.4,4,297.9,38.0,2,306.4,285.4,"Light brown, brown to grayish brown, non plastic, poorly graded sand with silt to silty sand, medium dense to very dense.",SP-SM,Sand,Dense
96,102,47.52864472,-122.3886656,315.4,5,292.9,60.0,2,306.4,285.4,"Light brown, brown to grayish brown, non plastic, poorly graded sand with silt to silty sand, medium dense to very dense.",SP-SM,Sand,Very Dense
97,102,47.52864472,-122.3886656,315.4,6,287.9,52.0,2,306.4,285.4,"Light brown, brown to grayish brown, non plastic, poorly graded sand with silt to silty sand, medium dense to very dense.",SP-SM,Sand,Very Dense
98,102,47.52864472,-122.3886656,315.4,7,282.9,100.0,3,285.4,266.4,"Wet, gray, fine clay with sand, very plastic, very dense, occasionally gravelly.",ML,Clay,Hard
99,102,47.52864472,-122.3886656,315.4,8,277.9,74.0,3,285.4,266.4,"Wet, gray, fine clay with sand, very plastic, very dense, occasionally gravelly.",ML,Clay,Hard
100,102,47.52864472,-122.3886656,315.4,9,272.9,95.0,3,285.4,266.4,"Wet, gray, fine clay with sand, very plastic, very dense, occasionally gravelly.",ML,Clay,Hard
101,102,47.52864472,-122.3886656,315.4,10,267.9,62.0,3,285.4,266.4,"Wet, gray, fine clay with sand, very plastic, very dense, occasionally gravelly.",ML,Clay,Hard
102,103,47.52862163,-122.3892437,243.5,1,241.0,13.0,1,243.5,230.5,"Light brown, poorly graded sand with silt to silty sand, medium dense to dense.",SM,Sand,Medium
103,103,47.52862163,-122.3892437,243.5,2,236.0,41.0,1,243.5,230.5,"Light brown, poorly graded sand with silt to silty sand, medium dense to dense.",SM,Sand,Dense
104,103,47.52862163,-122.3892437,243.5,3,231.0,42.0,1,243.5,230.5,"Light brown, poorly graded sand with silt to silty sand, medium dense to dense.",SM,Sand,Dense
105,155,47.53528456,-122.3887627,323.1,1,318.1,70.0,3,319.1,315.1,"Dense, brown, slightly silty, fine sand, moist.",,Sand,
106,171,47.51001061,-122.3909411,163.2,1,159.2,5.0,1,163.2,153.2,"Loose, fine to medium grained sand with gravel.",,Fill,
107,171,47.51001061,-122.3909411,163.2,2,154.2,6.0,1,163.2,153.2,"Loose, fine to medium grained sand with gravel.",,Fill,
108,171,47.51001061,-122.3909411,163.2,3,152.7,12.0,2,153.2,148.2,Silt and clay with joints and slickensides.,,Silty clay,
109,171,47.51001061,-122.3909411,163.2,4,147.7,39.0,3,148.2,134.2,Hard silt and clay massive with intercalated beds of water-bearing sand.,,Silty clay,
110,171,47.51001061,-122.3909411,163.2,5,145.2,67.0,3,148.2,134.2,Hard silt and clay massive with intercalated beds of water-bearing sand.,,Silty clay,
111,171,47.51001061,-122.3909411,163.2,6,140.7,69.0,3,148.2,134.2,Hard silt and clay massive with intercalated beds of water-bearing sand.,,Silty clay,
112,171,47.51001061,-122.3909411,163.2,7,135.2,94.0,3,148.2,134.2,Hard silt and clay massive with intercalated beds of water-bearing sand.,,Silty clay,
113,180,47.50881194,-122.3907935,157.4,1,154.9,16.0,1,157.4,112.4,"Sandy, clayey silt, gray, wet, medium dense, contains very fine sand.",,Clayey silt,
114,180,47.50881194,-122.3907935,157.4,2,150.9,16.0,1,157.4,112.4,"Sandy, clayey silt, gray, wet, medium dense, contains very fine sand.",,Clayey silt,
115,180,47.50881194,-122.3907935,157.4,3,146.4,13.0,1,157.4,112.4,"Sandy, clayey silt, gray, wet, medium dense, contains very fine sand.",,Clayey silt,
116,180,47.50881194,-122.3907935,157.4,4,140.9,17.0,1,157.4,112.4,"Sandy, clayey silt, gray, wet, medium dense, contains very fine sand.",,Clayey silt,
117,180,47.50881194,-122.3907935,157.4,5,135.9,17.0,1,157.4,112.4,"Sandy, clayey silt, gray, wet, medium dense, contains very fine sand.",,Clayey silt,
118,180,47.50881194,-122.3907935,157.4,6,130.9,21.0,1,157.4,112.4,"Sandy, clayey silt, gray, wet, medium dense, contains very fine sand.",,Clayey silt,
119,180,47.50881194,-122.3907935,157.4,7,125.9,30.0,1,157.4,112.4,"Sandy, clayey silt, gray, wet, medium dense, contains very fine sand.",,Clayey silt,
120,180,47.50881194,-122.3907935,157.4,8,120.4,33.0,1,157.4,112.4,"Sandy, clayey silt, gray, wet, medium dense, contains very fine sand.",,Clayey silt,
121,180,47.50881194,-122.3907935,157.4,9,116.9,70.0,1,157.4,112.4,"Sandy, clayey silt, gray, wet, medium dense, contains very fine sand.",,Clayey silt,
122,180,47.50881194,-122.3907935,157.4,10,111.4,70.0,2,112.4,105.9,Gravelly sand.,,Gravelly sand,
123,187,47.51069887,-122.3916171,179.2,1,176.7,2.0,1,179.2,171.7,"Brown to gray, clayey sand and silt, wet, loose.",SM-ML,Clayey sand,Very loose
124,187,47.51069887,-122.3916171,179.2,2,174.2,5.0,1,179.2,171.7,"Brown to gray, clayey sand and silt, wet, loose.",SM-ML,Clayey sand,Loose
125,187,47.51069887,-122.3916171,179.2,3,171.7,14.0,2,171.7,160.7,"Gray clay, wet, moderate to stiff, plastic.",CH,Clay,Stiff
126,187,47.51069887,-122.3916171,179.2,4,169.2,22.0,2,171.7,160.7,"Gray clay, wet, moderate to stiff, plastic.",CH,Clay,Very stiff
127,187,47.51069887,-122.3916171,179.2,5,166.7,28.0,2,171.7,160.7,"Gray clay, wet, moderate to stiff, plastic.",CH,Clay,Very stiff
128,187,47.51069887,-122.3916171,179.2,6,161.7,24.0,2,171.7,160.7,"Gray clay, wet, moderate to stiff, plastic.",CH,Clay,Very stiff
129,188,47.51023258,-122.3921308,128.4,1,128.15,24.0,1,128.4,127.700000012,"Stiff, dry to moist, gray-brown, clayey silt, disturbed.",,Clayey silt,
130,188,47.51023258,-122.3921308,128.4,2,126.65,98.0,3,126.9,124.4,"Very dense, gray-brown, fine sandy silt, dry to moist.",,Sandy silt,
131,189,47.51021973,-122.3920777,136.0,1,135.75,38.0,1,136.0,133.0,"Very stiff to hard, brown and tan, clayey, sandy silt, dry to moist, with roots and organics, disturbed.",,Sandy silt,
132,189,47.51021973,-122.3920777,136.0,2,134.25,48.0,1,136.0,133.0,"Very stiff to hard, brown and tan, clayey, sandy silt, dry to moist, with roots and organics, disturbed.",,Sandy silt,
133,189,47.51021973,-122.3920777,136.0,3,132.75,46.0,2,133.0,131.5,"Very stiff, brown, dry to moist, clayey silt, with trace of roots and gravel.",,Clayey silt,
134,189,47.51021973,-122.3920777,136.0,4,131.25,68.0,3,131.5,127.0,"Hard, brown, gray, dry to moist, silty clay and clayey silt with iron oxidized silt lenses.",,Silty clay,
135,189,47.51021973,-122.3920777,136.0,5,129.75,107.0,3,131.5,127.0,"Hard, brown, gray, dry to moist, silty clay and clayey silt with iron oxidized silt lenses.",,Silty clay,
136,189,47.51021973,-122.3920777,136.0,6,128.25,145.0,3,131.5,127.0,"Hard, brown, gray, dry to moist, silty clay and clayey silt with iron oxidized silt lenses.",,Silty clay,
137,190,47.51020675,-122.3920327,140.5,1,140.25,41.0,1,140.5,137.0,"Dense, brown, dry, clayey, sandy silt with organics.",,Fill,
138,190,47.51020675,-122.3920327,140.5,2,138.75,78.0,1,140.5,137.0,"Dense, brown, dry, clayey, sandy silt with organics.",,Fill,
139,190,47.51020675,-122.3920327,140.5,3,137.25,42.0,1,140.5,137.0,"Dense, brown, dry, clayey, sandy silt with organics.",,Fill,
140,190,47.51020675,-122.3920327,140.5,4,135.75,38.0,2,137.0,134.5,"Stiff to very stiff, gray and brown, clayey silt with scattered roots and gravel, dry to moist, disturbed.",,Clayey silt,
141,190,47.51020675,-122.3920327,140.5,5,134.25,39.0,3,134.5,130.5,"Very stiff to hard, brown-gray and gray, moist, clayey silt, occasional gravel.",,Clayey silt,
142,190,47.51020675,-122.3920327,140.5,6,132.75,72.0,3,134.5,130.5,"Very stiff to hard, brown-gray and gray, moist, clayey silt, occasional gravel.",,Clayey silt,
143,190,47.51020675,-122.3920327,140.5,7,131.25,119.0,3,134.5,130.5,"Very stiff to hard, brown-gray and gray, moist, clayey silt, occasional gravel.",,Clayey silt,
144,202,47.55968967,-122.3839953,309.9,1,307.9,3.0,1,309.9,298.9,"Brown and tan, mixed, clean to silty sand and sandy silt with pebbles, both with wood and charcoal fragments, dry, loose.",SP-ML,Fill,Very loose
145,202,47.55968967,-122.3839953,309.9,2,302.9,23.0,1,309.9,298.9,"Brown and tan, mixed, clean to silty sand and sandy silt with pebbles, both with wood and charcoal fragments, dry, loose.",SP-ML,Fill,Medium
146,202,47.55968967,-122.3839953,309.9,3,297.9,67.0,2,298.9,293.4,"Brown-tan, silty sand with pebbles grading to slightly silty sand, damp to wet, dense to very dense.",SM,Silty sand,Very Dense
147,202,47.55968967,-122.3839953,309.9,4,292.9,28.0,3,293.4,268.9,"Blue-gray, clay and silt, with trace fine sand at depth, non-bedded with oblique jointing, moist, hard.",ML,Clayey silt,Very stiff
148,202,47.55968967,-122.3839953,309.9,5,287.9,27.0,3,293.4,268.9,"Blue-gray, clay and silt, with trace fine sand at depth, non-bedded with oblique jointing, moist, hard.",ML,Clayey silt,Very stiff
149,202,47.55968967,-122.3839953,309.9,6,282.9,51.0,3,293.4,268.9,"Blue-gray, clay and silt, with trace fine sand at depth, non-bedded with oblique jointing, moist, hard.",ML,Clayey silt,Hard
150,202,47.55968967,-122.3839953,309.9,7,277.9,66.0,3,293.4,268.9,"Blue-gray, clay and silt, with trace fine sand at depth, non-bedded with oblique jointing, moist, hard.",ML,Clayey silt,Hard
151,202,47.55968967,-122.3839953,309.9,8,272.9,66.0,3,293.4,268.9,"Blue-gray, clay and silt, with trace fine sand at depth, non-bedded with oblique jointing, moist, hard.",ML,Clayey silt,Hard
152,203,47.56047731,-122.3839543,300.6,1,298.6,74.0,1,300.6,283.6,"Tan mottled to tan, silty sand with gravel, with lenses of clean to slightly silty sand, moist, very dense.",SM-SP,Silty sand,Very Dense
153,203,47.56047731,-122.3839543,300.6,4,283.6,54.0,2,283.6,269.6,"Tan, clayey silt with silty sand, jointed, wet on vertical joint planes, moist, very hard.",SM-SP,Clayey silt,Very Dense
154,203,47.56047731,-122.3839543,300.6,5,278.6,71.0,2,283.6,269.6,"Tan, clayey silt with silty sand, jointed, wet on vertical joint planes, moist, very hard.",SM-SP,Clayey silt,Very Dense
155,203,47.56047731,-122.3839543,300.6,7,268.6,80.0,3,269.6,266.6,"Blue-gray, mottled, silt with fine sand, moist, dense.",ML,Silt,Hard
156,205,47.55979181,-122.3836141,287.7,1,285.7,16.0,1,287.7,277.7,"Red-tan mottled, gravelly, silty sand, very wet to wet, medium dense.",SM-ML,Silty sand,Medium
157,205,47.55979181,-122.3836141,287.7,2,280.7,59.0,1,287.7,277.7,"Red-tan mottled, gravelly, silty sand, very wet to wet, medium dense.",SM-ML,Silty sand,Very Dense
158,206,47.56003804,-122.3839874,303.0,1,301.0,15.0,1,303.0,293.0,"Tan mottled to gray, gravelly silty sand grading to slightly silty sand with gravel, moist, medium dense to very dense.",SM,Silty sand,Medium
